frame_index,participant,engagement
0,P3,leaning out
0,P1,leaning out
0,P2,leaning out
1,P2,leaning out
1,P3,leaning out
1,P1,leaning in
4,P1,leaning in
4,P3,leaning out
4,P2,leaning out
6,P3,leaning out
6,P2,leaning out
6,P1,leaning in
8,P3,leaning out
8,P2,leaning out
8,P1,leaning out
10,P3,leaning out
10,P1,leaning in
10,P2,leaning out
12,P2,leaning out
12,P3,leaning out
12,P1,leaning in
14,P3,leaning out
14,P2,leaning out
14,P1,leaning in
16,P2,leaning out
16,P3,leaning out
16,P1,leaning in
18,P1,leaning in
18,P3,leaning out
18,P2,leaning out
20,P2,leaning out
20,P3,leaning out
20,P1,leaning in
22,P2,leaning out
22,P1,leaning in
22,P3,leaning out
24,P2,leaning out
24,P1,leaning in
24,P3,leaning out
26,P2,leaning out
26,P1,leaning in
26,P3,leaning out
28,P2,leaning out
28,P3,leaning out
28,P1,leaning in
30,P3,leaning out
30,P1,leaning in
30,P2,leaning out
32,P2,leaning out
32,P3,leaning out
32,P1,leaning in
34,P2,leaning out
34,P3,leaning out
34,P1,leaning in
36,P3,leaning out
36,P2,leaning out
36,P1,leaning in
38,P2,leaning out
38,P3,leaning out
38,P1,leaning in
40,P3,leaning out
40,P1,leaning in
40,P2,leaning out
42,P2,leaning out
42,P3,leaning out
42,P1,leaning in
44,P2,leaning out
44,P3,leaning out
44,P1,leaning in
46,P3,leaning out
46,P1,leaning in
46,P2,leaning out
48,P1,leaning in
48,P3,leaning out
48,P2,leaning out
50,P3,leaning out
50,P2,leaning out
50,P1,leaning in
52,P3,leaning out
52,P2,leaning out
52,P1,leaning in
54,P2,leaning out
54,P3,leaning out
54,P1,leaning in
56,P1,leaning in
56,P3,leaning out
56,P2,leaning out
58,P3,leaning out
58,P1,leaning in
58,P2,leaning out
60,P2,leaning out
60,P3,leaning out
60,P1,leaning in
62,P3,leaning out
62,P1,leaning in
62,P2,leaning out
64,P1,leaning in
64,P3,leaning out
64,P2,leaning out
66,P2,leaning out
66,P1,leaning in
66,P3,leaning out
68,P1,leaning in
68,P3,leaning out
68,P2,leaning out
70,P1,leaning in
70,P2,leaning out
70,P3,leaning out
