frame_index,bodyId,handedness,targets
116,1,Right,[]
200,1,Right,[]
210,1,Right,[]
244,2,Left,[]
258,2,Left,[]
260,2,Left,[]
262,2,Left,[]
266,2,Left,[]
268,2,Left,[]
270,2,Left,[]
272,2,Right,[]
272,2,Left,[]
274,2,Right,[]
274,2,Left,[]
276,2,Left,[]
278,2,Left,[]
280,2,Left,[]
282,2,Left,[]
284,2,Right,[]
284,2,Left,[]
286,2,Right,[]
286,2,Left,[]
288,2,Left,[]
290,2,Left,[]
292,2,Left,[]
294,2,Left,[]
296,2,Left,[]
298,2,Right,[]
298,2,Left,[]
300,2,Left,[]
302,2,Right,[]
302,2,Left,[]
306,2,Left,[]
308,2,Left,[]
310,2,Left,[]
312,2,Left,[<GamrTarget.BLUE_BLOCK: 'blue'>]
314,2,Left,[]
316,2,Right,[]
316,2,Left,[]
318,2,Left,[]
320,2,Left,[]
322,2,Left,[]
324,2,Left,[]
326,2,Left,[]
330,2,Left,[]
334,2,Right,[]
348,2,Left,[]
354,3,Left,[]
378,3,Left,[]
